id,total_a_bordo,pasajero_a_bordo,tripulantes_a_bordo,total_fallecidos,pasajeros_fallecidos,tripulantes_fallecidos,fallecidos_en_tierra
195,5,4,1,4,3,1,0
196,2,0,2,1,0,1,0
197,8,5,3,8,5,3,0
198,5,2,3,3,1,2,0
199,6,4,2,6,4,2,0
200,6,5,1,6,5,1,0
201,1,0,1,1,0,1,0
202,5,3,2,5,3,2,0
203,2,0,2,1,0,1,0
204,7,5,2,7,5,2,0
205,1,0,1,1,0,1,0
206,2,0,2,2,0,2,0
207,4,3,1,4,3,1,0
208,8,4,4,7,3,4,0
209,3,0,3,3,0,3,0
210,12,9,3,1,1,0,0
211,1,0,1,1,0,1,0
212,1,0,1,1,0,1,0
213,3,0,2,2,0,2,0
214,5,3,2,5,3,2,0
215,1,0,1,1,0,1,0
216,3,0,3,3,0,3,0
217,16,14,2,16,14,2,0
218,2,0,2,2,0,2,0
219,5,4,1,5,4,1,0
220,1,0,1,1,0,1,0
221,6,3,3,2,2,0,0
222,4,3,1,4,3,1,0
223,4,2,2,3,1,2,0
224,15,13,2,1,1,0,0
225,8,5,3,5,4,1,0
226,5,4,1,5,4,1,0
227,6,4,2,6,4,2,0
228,11,10,1,10,9,1,0
229,2,0,2,2,0,2,0
230,3,2,1,3,2,1,0
231,54,0,0,48,0,0,0
232,8,6,2,8,6,2,0
233,4,3,1,4,3,1,0
234,3,2,1,3,2,1,0
235,3,2,1,3,2,1,0
236,6,3,3,3,2,1,0
237,1,0,1,1,0,1,0
238,9,8,1,1,1,0,0
239,3,0,3,3,0,3,0
240,6,4,2,4,2,2,0
241,2,0,2,2,0,2,0
242,1,0,1,1,0,1,0
243,3,2,1,3,2,1,0
244,3,2,1,2,2,0,0
245,3,0,3,1,0,1,0
246,8,6,2,8,6,2,0
247,8,6,2,8,6,2,0
248,10,7,3,2,0,2,0
249,2,0,2,2,0,2,0
250,1,0,1,1,0,1,0
251,1,0,1,1,0,1,0
252,4,0,4,4,0,4,0
253,3,1,2,2,0,2,0
254,4,2,2,4,2,2,0
255,2,0,2,2,0,2,0
256,2,0,2,2,0,2,0
257,1,0,1,1,0,1,0
258,7,5,2,7,5,2,0
259,6,4,2,6,4,2,0
260,1,0,1,1,0,1,0
261,6,4,2,6,4,2,0
262,4,3,1,4,3,1,0
263,3,0,3,3,0,3,0
264,3,0,3,3,0,3,0
265,5,4,1,5,4,1,0
266,3,2,1,3,2,1,0
267,1,0,1,1,0,1,0
268,3,1,2,3,1,2,0
269,1,0,1,1,0,1,0
270,6,5,1,2,2,0,0
271,7,3,4,5,2,3,0
272,2,0,2,2,0,2,0
273,5,4,1,4,4,0,0
274,1,0,1,1,0,1,0
275,8,7,1,8,7,1,0
276,5,4,1,5,4,1,0
277,2,0,2,1,0,1,0
278,1,0,1,1,0,1,0
279,3,0,3,3,0,3,0
280,5,0,5,3,0,3,0
281,7,5,2,7,5,2,0
282,1,0,1,1,0,1,0
283,3,1,2,3,1,2,0
284,1,0,1,1,0,1,0
285,1,0,1,1,0,1,0
286,3,2,1,3,2,1,0
287,2,0,2,1,0,1,0
288,9,6,3,9,6,3,0
289,7,3,4,0,0,0,0
290,2,0,2,2,0,2,0
291,4,2,2,3,1,2,0
292,2,0,2,1,0,1,0
293,3,2,1,3,2,1,0
294,1,0,1,1,0,1,0
295,2,0,2,2,0,2,0
296,2,0,2,2,0,2,0
297,5,3,2,5,3,2,0
298,2,1,1,2,1,1,0
299,2,0,2,2,0,2,0
300,1,0,1,1,0,1,0
301,1,0,1,1,0,1,0
302,3,0,3,1,0,1,0
303,2,0,2,2,0,2,0
304,1,0,1,1,0,1,0
305,1,0,1,1,0,1,0
306,3,1,2,2,0,2,0
307,2,0,2,2,0,2,0
308,3,2,1,3,2,1,11
309,15,12,3,15,12,3,0
310,2,1,1,1,1,0,0
311,76,0,0,73,0,0,0
312,8,5,3,5,2,3,0
313,4,2,2,4,2,2,0
314,6,3,3,6,3,3,0
315,1,0,1,1,0,1,0
316,9,7,2,9,7,2,0
317,6,2,4,6,2,4,0
318,5,3,2,5,3,2,0
319,8,6,2,8,6,2,0
320,10,7,3,10,7,3,0
321,5,2,3,2,1,1,0
322,10,7,3,4,3,1,0
323,1,0,1,0,0,0,0
324,8,7,1,8,7,1,0
325,20,0,20,14,0,14,0
326,2,0,2,2,0,2,0
327,10,8,2,6,4,2,0
328,6,4,2,5,3,2,0
329,10,8,2,10,8,2,0
330,14,10,4,14,10,4,0
331,2,0,0,2,0,0,0
332,8,5,3,8,5,3,0
333,6,0,0,1,0,0,0
334,4,3,1,4,3,0,0
335,6,4,2,5,3,2,0
336,15,12,3,3,0,3,0
337,3,1,2,3,1,2,0
338,6,3,3,6,3,3,0
339,2,0,2,2,0,2,0
340,7,4,3,7,4,3,0
341,10,7,3,6,3,3,0
342,7,5,2,1,0,1,0
343,1,0,1,1,0,1,0
344,4,3,1,3,2,1,0
345,12,9,3,12,9,3,0
346,2,0,2,2,0,2,0
347,1,0,0,0,0,0,0
348,5,4,1,5,4,1,0
349,7,6,1,7,6,1,0
350,3,2,1,3,2,1,0
351,11,9,2,11,9,2,0
352,4,2,2,2,2,0,0
353,2,0,2,2,0,2,0
354,4,3,1,4,3,1,0
355,3,0,3,3,0,3,0
356,1,0,1,1,0,1,0
357,8,5,3,4,2,2,0
358,7,3,4,7,3,4,0
359,1,0,1,1,0,1,0
360,10,8,2,10,8,2,0
361,2,0,2,0,0,2,15
362,1,0,1,1,0,1,0
363,11,8,3,11,8,3,0
364,83,0,83,2,0,2,0
365,3,0,3,0,0,0,0
366,6,5,1,3,2,1,0
367,5,0,5,5,0,5,0
368,3,0,3,1,0,1,0
369,7,2,5,7,2,5,0
370,1,0,1,1,0,1,0
371,14,12,2,5,3,2,0
372,50,37,13,50,37,13,2
373,12,11,1,3,2,1,0
374,1,0,1,1,0,1,0
375,2,1,1,2,1,1,0
376,9,0,0,6,0,0,0
377,20,18,2,17,15,2,0
378,20,15,5,6,2,4,0
379,2,1,1,2,1,1,0
380,13,9,4,13,9,4,0
381,8,7,1,1,3,0,0
382,5,3,2,5,3,2,0
383,7,3,4,7,3,4,0
384,1,0,0,0,0,0,0
385,4,3,1,4,3,1,0
386,2,1,1,2,1,1,0
387,3,2,1,3,2,1,0
388,3,0,3,3,0,3,0
389,8,7,1,8,7,1,0
390,5,3,2,5,3,2,0
391,12,9,3,12,9,3,0
392,6,4,2,6,4,2,0
393,6,4,2,1,0,1,0
394,4,0,4,4,0,4,0
395,4,0,4,4,0,4,0
396,1,0,1,1,0,1,0
397,13,10,3,12,9,3,0
398,3,0,3,3,0,3,0
399,2,0,2,1,0,1,0
400,11,7,4,11,7,4,0
401,3,2,1,3,2,1,0
402,13,9,4,12,9,1,0
403,16,13,3,13,10,3,0
404,17,14,3,17,14,3,0
405,13,10,3,13,10,3,0
406,6,3,3,6,3,3,0
407,6,5,1,1,0,1,0
408,6,1,5,6,1,5,0
409,4,0,4,4,0,4,0
410,6,3,3,0,0,0,0
411,5,4,1,5,4,1,0
412,14,10,4,14,10,4,0
413,2,0,2,2,0,2,0
414,14,11,3,12,10,2,0
415,25,18,7,3,2,1,0
416,7,5,2,7,5,2,0
417,5,0,5,3,0,3,0
418,2,0,2,2,0,2,0
419,2,0,2,2,0,2,0
420,2,0,2,2,0,2,0
421,15,11,4,1,1,0,0
422,6,4,2,1,1,0,0
423,7,3,4,7,3,4,0
424,7,5,2,7,5,2,0
425,6,4,2,6,4,2,0
426,10,8,2,10,8,2,0
427,3,0,3,3,0,3,0
428,1,0,1,1,0,1,0
429,8,6,2,8,6,2,0
430,3,1,2,2,1,1,0
431,2,0,2,2,0,2,0
432,11,8,3,2,2,0,0
433,11,10,1,10,9,1,0
434,10,7,3,9,7,2,0
435,2,0,2,2,0,2,0
436,3,1,2,3,1,2,0
437,4,3,1,4,3,1,0
438,1,0,1,1,0,1,0
439,1,0,1,1,0,1,0
440,15,12,3,11,8,3,0
441,16,13,3,4,3,1,0
442,4,0,4,2,0,2,0
443,6,3,3,6,3,3,0
444,14,11,3,9,7,2,0
445,5,1,4,5,1,4,0
446,17,13,4,15,12,3,0
447,7,4,3,7,4,3,0
448,2,0,2,2,0,2,0
449,11,8,3,0,0,0,0
450,6,4,2,6,4,2,0
451,1,0,0,0,0,0,0
452,12,10,2,12,10,2,0
453,9,6,3,9,6,3,0
454,13,11,2,5,4,1,0
455,12,8,4,12,8,4,0
456,11,9,2,11,9,2,0
457,7,5,2,5,3,2,0
458,4,0,4,4,0,4,0
459,6,1,5,5,1,4,0
460,13,10,3,13,10,3,0
461,6,4,2,0,0,0,0
462,97,36,61,35,13,22,1
463,4,2,2,4,2,2,0
464,9,5,4,9,5,4,0
465,6,5,1,6,5,1,0
466,2,0,2,2,0,2,0
467,15,10,5,15,10,5,0
468,9,5,4,9,5,4,0
469,14,11,3,14,11,3,0
470,5,2,3,5,2,3,0
471,11,8,3,3,0,3,0
472,9,7,2,4,2,2,0
473,3,0,3,3,0,3,0
474,1,0,1,1,0,1,1
475,14,9,5,2,2,0,0
476,11,7,4,4,1,3,0
477,19,16,3,19,16,3,0
478,7,2,5,7,2,5,0
479,11,9,2,4,2,2,0
480,12,9,3,10,7,3,0
481,11,9,2,4,2,2,0
482,11,8,3,11,8,3,0
483,3,0,3,3,0,3,0
484,17,14,3,4,4,0,0
485,19,13,6,2,1,1,0
486,8,4,4,2,1,1,0
487,7,6,1,2,1,1,0
488,3,1,2,3,1,2,0
489,6,3,3,6,3,3,0
490,10,8,2,10,8,2,0
491,7,0,7,7,0,7,0
492,1,0,1,1,0,1,0
